  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00           99.97741283            0.00000000        5276.96679118            0.00000000         5276.96679118 
  5.0000e-15           99.99285917            0.00000000        5277.78207389            0.00000000         5277.78207389 
  1.0000e-14          100.02633904            0.00000000        5279.54919448            0.00000000         5279.54919448 
  1.5000e-14          100.07785243            0.00000000        5282.26815295            0.00000000         5282.26815295 
  2.0000e-14          100.14739933            0.00000000        5285.93894930            0.00000000         5285.93894930 
  2.5000e-14          100.23497976            0.00000000        5290.56158353            0.00000000         5290.56158353 
  3.0000e-14          100.34059371            0.00000000        5296.13605565            0.00000000         5296.13605565 
  3.5000e-14          100.46424118            0.00000000        5302.66236564            0.00000000         5302.66236564 
  4.0000e-14          100.60592217            0.00000000        5310.14051352            0.00000000         5310.14051352 
  4.5000e-14          100.76563668            0.00000000        5318.57049927            0.00000000         5318.57049927 
  5.0000e-14          100.94338471            0.00000000        5327.95232291            0.00000000         5327.95232291 
  5.5000e-14          101.13916626            0.00000000        5338.28598443            0.00000000         5338.28598443 
  6.0000e-14          101.35298133            0.00000000        5349.57148383            0.00000000         5349.57148383 
  6.5000e-14          101.58482992            0.00000000        5361.80882111            0.00000000         5361.80882111 
  7.0000e-14          101.83471204            0.00000000        5374.99799627            0.00000000         5374.99799627 
  7.5000e-14          102.10262767            0.00000000        5389.13900931            0.00000000         5389.13900931 
  8.0000e-14          102.38857682            0.00000000        5404.23186023            0.00000000         5404.23186023 
  8.5000e-14          102.69255950            0.00000000        5420.27654903            0.00000000         5420.27654903 
  9.0000e-14          103.01457569            0.00000000        5437.27307572            0.00000000         5437.27307572 
  9.5000e-14          103.35462541            0.00000000        5455.22144028            0.00000000         5455.22144028 
  1.0000e-13          103.71270864            0.00000000        5474.12164273            0.00000000         5474.12164273 
  1.0500e-13          104.08882540            0.00000000        5493.97368305            0.00000000         5493.97368305 
  1.1000e-13          104.48297568            0.00000000        5514.77756126            0.00000000         5514.77756126 
  1.1500e-13          104.89515947            0.00000000        5536.53327735            0.00000000         5536.53327735 
  1.2000e-13          105.32537679            0.00000000        5559.24083132            0.00000000         5559.24083132 
  1.2500e-13          105.77362763            0.00000000        5582.90022317            0.00000000         5582.90022317 
  1.3000e-13          106.23991199            0.00000000        5607.51145290            0.00000000         5607.51145290 
  1.3500e-13          106.72422987            0.00000000        5633.07452051            0.00000000         5633.07452051 
  1.4000e-13          107.22658127            0.00000000        5659.58942600            0.00000000         5659.58942600 
  1.4500e-13          107.74696618            0.00000000        5687.05616937            0.00000000         5687.05616937 
  1.5000e-13          108.28538463            0.00000000        5715.47475063            0.00000000         5715.47475063 
  1.5500e-13          108.84183659            0.00000000        5744.84516976            0.00000000         5744.84516976 
